NOM_DISPOSITIF,ADRESSE,CODE_POSTAL,VILLE,COM_CODE,COM_NOM,EPCI_CORRE,ADRESSE_COMPLETE,TYPE_STRUCTURE,HORAIRES,INFOS,N_TEL,MAIL,WEBSITE,SERVICES,ACCES
L'Atelier du pavillon des sciences,1 impasse de la presqu'ile,25200,MONTBELIARD,25388,Montbéliard,CA Pays de Montbéliard Agglomération,1 impasse de la presqu'ile 25200 MONTBELIARD,espnum,,Lieu de création numérique,03 81 97 18 21,contact@pavillon-sciences.com,https://www.pavillon-sciences.com/web/,ateliers_formations-tierslieux_cowork-,adapt_handicap-acces_payant-
France services Montbéliard,12 rue Maurice Ravel,25200,MONTBELIARD,25388,Montbéliard,CA Pays de Montbéliard Agglomération,12 rue Maurice Ravel 25200 MONTBELIARD,msap_mfs,,Accompagnement des démarches CAF  pole emploi MSA pour agriculteurs  demande de logement et de bourses  ,03 81 36 52 03,france.services.montbeliard@outlook.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25388-01,accomp_demarches-,adapt_handicap-acces_libre-
EPN Grand-Charmont,5  rue de Sochaux,25200,GRAND-CHARMONT,25284,Grand-Charmont,CA Pays de Montbéliard Agglomération,5  rue de Sochaux 25200 GRAND-CHARMONT,collectivite,,- connexion internet  photocopie  scan fax - Ateliers Collectifs Public Adultes etSeniors sur le thème du multimédia et de la bureautique. - Ateliers ludo-éducatifs,03 81 32 19 17,epn-pij@grand-charmont.com,http://www.grand-charmont.com/,ateliers_formations-,adapt_handicap-acces_libre-acces_payant-
France Services Mouthe,1 Grande Rue,25240,MOUTHE,25413,Mouthe,CC des Lacs et Montagnes du Haut-Doubs,1 Grande Rue 25240 MOUTHE,msap_mfs,,Imprimante  photocopieuse  scanner  ordinateur avec accès internet Accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…),09 82 81 55 46,maisonfranceservices@mouthe.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25413-01,accomp_demarches-,adapt_handicap-acces_libre-
France Services L'Isle sur le Doubs,10 rue des Prés verts,25250,L'ISLE SUR LE DOUBS,25315,L'Isle-sur-le-Doubs,CC des Deux Vallées Vertes,10 rue des Prés verts 25250 L'ISLE SUR LE DOUBS,msap_mfs,,,03 81 86 02 63,adelaide.thiel@cc2vv.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25315-01,accomp_demarches-ateliers_formations-,acces_libre-
Mission Locale du Haut-Doubs,17 place des Bernardines,25300,PONTARLIER,25462,Pontarlier,CC du Grand Pontarlier,17 place des Bernardines 25300 PONTARLIER,collectivite,,,03 81 46 54 61,,https://missionslocales-bfc.fr/mission-locale-haut-doubs/,accomp_demarches-,
France services Amancey,13 rue du Four,25330,AMANCEY,25015,Amancey,CC Loue-Lison,13 rue du Four 25330 AMANCEY,msap_mfs,,,03 81 86 79 80,contact@msap-amancey.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25015-01,accomp_demarches-,acces_libre-
France Services Pays de Clerval,1 rue Portes des Noyes,25340,PAYS DE CLERVAL,25156,Pays-de-Clerval,CC des Deux Vallées Vertes,1 rue Portes des Noyes 25340 PAYS DE CLERVAL,msap_mfs,,Démarches CAF  CPAM  Pôle emploi  instruction RSA  accès aux droits numériques,06 24 77 22 96,coralie.burr@cc2vv.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25156-02,accomp_demarches-ateliers_formations-,adapt_handicap-acces_libre-
France Services Bouclans,1 Place de la Poste,25360,BOUCLANS,25078,Bouclans,CC des Portes du Haut-Doubs,1 Place de la Poste 25360 BOUCLANS,msap_mfs,,Ordinateurs en libre service  accès internet  photocopieuse  imprimante  scanner  téléphone  visioconférence et espace de confidentialité Travaille avec une startup « reconnect» pour proposer un coffre-fort numérique Accompagnement sur les démarches administratives (tous types). • Accompagnement spécifique sur les questions relatives à l’emploi : réalisation des démarches administratives (Pôle emploi; RSA  CAF  CPAM CARSAT  MSA  URSAFF) • Accompagnement dans une démarche de recherche d’emploi : définition du projet professionnel  rédaction CV et lettre de motivation  préparation des entretiens d’embauche  aide à la consultation d’offres  recherche de solutions (transport  garde d’enfants...),03 81 52 24 41,franceservices@bouclans.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25078-01,accomp_demarches-ateliers_formations-,adapt_handicap-acces_libre-
Espace citoyen, Centre Saint-Exupéry   49  rue Combe Mirey ,25400,AUDINCOURT,25031,Audincourt,CA Pays de Montbéliard Agglomération, Centre Saint-Exupéry   49  rue Combe Mirey  25400 AUDINCOURT,collectivite,,,09 63 40 48 90.,,https://www.audincourt.fr/sports-loisirs/structures-danimation/espace-citoyen/,accomp_demarches-ateliers_formations-,acces_libre-
Association Saint-VIt Informatique,1bis  rue du Four,25410,SAINT VIT,25527,Saint-Vit,CA du Grand Besancon,1bis  rue du Four 25410 SAINT VIT,association,,,03 81 87 59 78,contact@saintvitinformatique.com,http://www.saintvitinformatique.com/,ateliers_formations-,acces_libre-
France Services - Sancey Belleherbe,14 bis Rue du Maréchal de Lattre de Tassigny,25430,SANCEY,25529,Sancey,CC du Pays de Sancey-Belleherbe,14 bis Rue du Maréchal de Lattre de Tassigny 25430 SANCEY,msap_mfs,,Démarches administratives en ligne  accès aux droits Accompagnement et utilisation de l'outil informatique Orientation  formation et accompagnement aux parents dans l'utilisation des tablettes numériques : suivi de la scolarité et service Pronote (à partir de septembre 2021),07 68 59 77 29,benedicte.gauthier@payssancey-belleherbe.fr,http://www.payssancey-belleherbe.fr/les-services-au-sein-du-vallon-de-sancey.html,accomp_demarches-ateliers_formations-,acces_libre-
France Services- Antenne de Sancey,1 Allée des Sapins,25380,BELLEHERBE,25529,Sancey,CC du Pays de Sancey-Belleherbe,1 Allée des Sapins 25380 BELLEHERBE,msap_mfs,,France services itinérante,07 68 59 77 29,benedicte.gauthier@payssancey-belleherbe.fr,http://www.payssancey-belleherbe.fr/les-services-au-sein-du-plateau-de-belleherbe.html,accomp_demarches-ateliers_formations-,acces_libre-itinerance-
France services Quingey,4 Lot Rives de la Loue,25440,QUINGEY,25475,Quingey,CC Loue-Lison,4 Lot Rives de la Loue 25440 QUINGEY,msap_mfs,,,03 70 88 50 10,quingey@france-services.gouv.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25475-01,accomp_demarches-,
Maison des associations,Rue du 19 mars,25490,FESCHES LE CHATEL,25237,Fesches-le-Châtel,CA Pays de Montbéliard Agglomération,Rue du 19 mars 25490 FESCHES LE CHATEL,collectivite,,,,,,accomp_demarches-,
AGASC - Maison pour tous,41 Grande rue,25550,BAVANS,25048,Bavans,CA Pays de Montbéliard Agglomération,41 Grande rue 25550 BAVANS,collectivite,,,03 81 92 64 25,assos.gestion@wanadoo.fr,,accomp_demarches-,acces_libre-
MSAP Frasne / Agence Postale Communale,18 rue de la Gare,25560,FRASNE,25259,Frasne,CC du Plateau de Frasne et du Val de Drugeon (CFD),18 rue de la Gare 25560 FRASNE,msap_mfs,,Imprimante  photocopieuse  scanner  ordinateur avec accès internet Accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…),,msap.frasne@laposte.fr,https://www.maisondeservicesaupublic.fr/content/frasne-bureau-de-poste,accomp_demarches-,adapt_handicap-acces_libre-
France services Les Premiers Sapins,8 rue de la Scierie,25580,LES PREMIERS SAPINS,25424,Les Premiers Sapins,CC des Portes du Haut-Doubs,8 rue de la Scierie 25580 LES PREMIERS SAPINS,msap_mfs,,Accès à internet  Wifi  Photocopieuse  imprimante  scanner  visioconférence  Téléphone  Assurer l’accueil de premier niveau pour les partenaires sociaux : proposer une permanence physique qui accompagne les personnes dans leur démarche  favoriser l’accès aux nouvelles technologies (cabine numérique  accompagnement  formation  …)  appuyer tous les projets citoyens grâce à l’accompagnement de l’espace de Vie Local  Cours informatiques : 2 modules de plusieurs niveaux (6 personnes par cours) en lien avec un prestataire externe (pris en charge par le CCAS),03 81 60 04 06,mairie.lps25@orange.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25424-01,accomp_demarches-ateliers_formations-,adapt_handicap-acces_libre-
France Services Sochaux,Rue de La Poste,25600,SOCHAUX,25547,Sochaux,CA Pays de Montbéliard Agglomération,Rue de La Poste 25600 SOCHAUX,msap_mfs,,Apprentissage de l'outil informatique pour accomplir les démarches en ligne,09 62 69 61 15,france.services.sochaux@outlook.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25547-01,accomp_demarches-ateliers_formations-,acces_libre-
Pôle Multimédia,Mairie,25600,SOCHAUX,25547,Sochaux,CA Pays de Montbéliard Agglomération,Mairie 25600 SOCHAUX,collectivite,,,03 81 94 53 42,POLE-MULTIMEDIA@SOCHAUX.FR,https://sochaux.fr/sochaux/loisirs-sports/pole-multimedia.htm,ateliers_formations-,acces_libre-
Point multimédia,Le couvent,25190,SAINT HIPPOLYTE,,,,Le couvent 25190 SAINT HIPPOLYTE,association,,Lieu d'information et d'accès aux droits,,,,,
MSAP Mamirolle ( Bureau de Poste),17 Grande Rue,25620,MAMIROLLE,25364,Mamirolle,CA du Grand Besancon,17 Grande Rue 25620 MAMIROLLE,msap_mfs,,,,,,accomp_demarches-,acces_libre-
Club Miss,58 rue de Besançon,25630,SAINTE SUZANNE,25526,Sainte-Suzanne,CA Pays de Montbéliard Agglomération,58 rue de Besançon 25630 SAINTE SUZANNE,association,,,,,,ateliers_formations-,
France services Gilley,2 Avenue Jean de Lattre de Tassigny,25650,GILLEY,25271,Gilley,CC de Montbenoît,2 Avenue Jean de Lattre de Tassigny 25650 GILLEY,msap_mfs,,- Accès internet  Ordinateur  imprimante  scanner  photocopie et téléphone.  - Visioconférence notamment avec l’antenne Pôle Emploi de Morteau - Une personne à disposition du public pour un accompagnement à la réalisation des démarches administratives et quotidiennes,09 63 53 66 42,franceservices@gilley.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25271-01,accomp_demarches-,adapt_handicap-acces_libre-
France Services Rougemont,2 rue Basse,25680,ROUGEMONT,25184,Cuse-et-Adrisans,CC des Deux Vallées Vertes,2 rue Basse 25680 ROUGEMONT,msap_mfs,,,03 81 86 02 63,julie.boutin@cc2vv.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25505-01,accomp_demarches-ateliers_formations-,acces_libre-
Maison des Jeunes et de la Culture,10 Rue Carnot,25700,VALENTIGNEY,25580,Valentigney,CA Pays de Montbéliard Agglomération,10 Rue Carnot 25700 VALENTIGNEY,association,,,03 81 36 25 50,,http://www.mjcvalentigney.fr/,ateliers_formations-,
France services Valdahon,5 Place du Général de Gaulle,25800,VALDAHON,25578,Valdahon,CC des Portes du Haut-Doubs,5 Place du Général de Gaulle 25800 VALDAHON,msap_mfs,,1 ordinateur  Accès internet gratuit (limité à 1h/jour)  Imprimante  photocopieuse  scanner  espace de confidentialité  projet d’acquisition de webcams pour de la visio-conférence et de développer de nouveaux ateliers  Accompagnement sur les démarches administratives • Ateliers informatiques (prestataire extérieur) • Actions communes avec le CCAS et le CMS qui sont dans les mêmes locaux • Participation à l’opération « Cafés connectés »,03 81 26 04 10,mds@valdahon.com,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25578-01,accomp_demarches-ateliers_formations-,adapt_handicap-acces_libre-
Crédit Agricole,33 Bis Rue Charles de Gaulle,25410,SAINT VIT,25527,Saint-Vit,CA du Grand Besancon,33 Bis Rue Charles de Gaulle 25410 SAINT VIT,entreprise,,,03 81 55 11 32,saint.vit@ca-franchecomte.fr,https://www.credit-agricole.fr/particulier/agence/franche-comte/saint-vit-3602.html,accomp_demarches-ateliers_formations-,
Crédit Agricole,31 Grande Rue  25140 Charquemont,25140,CHARQUEMONT,25127,Charquemont,CC du Pays de Maîche,31 Grande Rue  25140 Charquemont 25140 CHARQUEMONT,entreprise,,,03 81 44 00 78,charquemont@ca-franchecomte.fr,https://www.credit-agricole.fr/particulier/agence/franche-comte/charquemont-3589.html,accomp_demarches-ateliers_formations-,
Crédit Agricole,Ctre commercial Super U  Rue Emagny,25115,POUILLEY LES VIGNES,25127,Charquemont,CC du Pays de Maîche,Ctre commercial Super U  Rue Emagny 25115 POUILLEY LES VIGNES,entreprise,,,03 81 55 04 76,pouilley.les.vignes@ca-franchecomte.fr,https://www.credit-agricole.fr/particulier/agence/franche-comte/pouilley-les-vignes-3601.html,accomp_demarches-ateliers_formations-,
Crédit Agricole,21 rue de Besancon,25150,PONT DE ROIDE,25127,Charquemont,CC du Pays de Maîche,21 rue de Besancon 25150 PONT DE ROIDE,entreprise,,,03 81 99 87 40,pont.de.roide@ca-franchecomte.fr,https://www.credit-agricole.fr/particulier/agence/franche-comte/pont-de-roide-3631.html,accomp_demarches-ateliers_formations-,
MJC Palente,24 Rue des Roses,25000,BESANCON,25056,Besancon,CA du Grand Besancon,24 Rue des Roses 25000 BESANCON,association,,,03 81 80 42 92,mjcpalente.secretariat@gmail.com,http://www.mjc-palente.fr/,accomp_demarches-,acces_libre-
Complicité,6 Grande rue,25440,COURCELLES,25171,Courcelles,CC Loue-Lison,6 Grande rue 25440 COURCELLES,association,,,06 33 33 84 47,contact@association-complicite.com,https://association-complicite.com/,accomp_demarches-ateliers_formations-,
Familles Rurales,15 Avenue Général de Gaulle,25290,ORNANS,25434,Ornans,CC Loue-Lison,15 Avenue Général de Gaulle 25290 ORNANS,association,,,03 81 62 26 93,famillesruralespo@orange.fr,https://www.famillesrurales.org/pays-ornans/17/familles-rurales-du-pays-dornans,accomp_demarches-ateliers_formations-,acces_libre-
Club informatique Montferrand (Jeunesse et Culture),34 Rue de la Chapelle,25320,MONTFERRAND LE CHATEAU,25397,Montferrand-le-Château,CA du Grand Besancon,34 Rue de la Chapelle 25320 MONTFERRAND LE CHATEAU,association,,,03 81 56 63 91,clubinfo25320@gmail.com,http://clubinfo25320.chez.com/,accomp_demarches-ateliers_formations-,
Club multimédia Vercel,9 rue de Jésus,25530,VERCEL VILLEDIEU LE CAMP,25601,Vercel-Villedieu-le-Camp,CC des Portes du Haut-Doubs,9 rue de Jésus 25530 VERCEL VILLEDIEU LE CAMP,association,,Formateurs bénévoles. Cotisations pour participer aux formations. Ateliers par thème (usage internet  usages des sites de services publics  Libre Office  photos et albums...),,,,ateliers_formations-,adapt_handicap-
Les petits débrouillards,1 Rue de Champagne,25000,BESANCON,25056,Besancon,CA du Grand Besancon,1 Rue de Champagne 25000 BESANCON,association,,,03 81 51 74 88,franche_comte@lespetitsdebrouillards.org,https://www.lespetitsdebrouillardsbourgognefranchecomte.org/rubrique2.html,ateliers_formations-,
Comité de quartier Rosemont St Frejeux,1 Avenue Ducat,25000,BESANCON,25056,Besancon,CA du Grand Besancon,1 Avenue Ducat 25000 BESANCON,association,,,03 81 52 42 52,maison.quartier@comite-stferjeux.fr,http://www.mdq-saintferjeux.fr/sengager/le-comite-de-quartier-vous-invite.html,accomp_demarches-ateliers_formations-,acces_libre-
CCAS Besancon,9 Rue Pablo Picasso,25050,BESANCON,25056,Besancon,CA du Grand Besancon,9 Rue Pablo Picasso 25050 BESANCON,ccas,,,03 81 41 21 21,ccas@besancon.fr,https://www.besancon.fr/la-ville/ccas-de-besancon/,accomp_demarches-ateliers_formations-,acces_libre-
CCAS Pontarlier,6 Rue des Capucins,25300,PONTARLIER,25462,Pontarlier,CC du Grand Pontarlier,6 Rue des Capucins 25300 PONTARLIER,ccas,,,03 81 46 51 36,c.c.a.s@ville-pontarlier.com,https://www.ville-pontarlier.fr/page/vivre-a-pontarlier/vie-quotidienne-2/action-sociale/le-ccas,ateliers_formations-,
CIAS Quingey,Mairie Quingey  place d'armes,25440,QUINGEY,25475,Quingey,CC Loue-Lison,Mairie Quingey  place d'armes 25440 QUINGEY,ccas,,,,,,accomp_demarches-,
CIAS Loue-Lison,7  rue Edouard-Bastide,25290,ORNANS,25434,Ornans,CC Loue-Lison,7  rue Edouard-Bastide 25290 ORNANS,ccas,,,03 81 62 20 19,,https://cclouelison.fr/fr/rb/417549/cias-1,accomp_demarches-,
CCAS Morteau,6 Rue Barral  25500 Morteau,25500,MORTEAU,25411,Morteau,CC du Val de Morteau,6 Rue Barral  25500 Morteau 25500 MORTEAU,ccas,,,03 81 68 56 86,,https://www.morteau.org/vos-services/ccas-solidarite-seniors-logement/presentation-du-ccas/,accomp_demarches-ateliers_formations-,
CMS Planoise Besancon,20 Boulevard Salvador Allende,25000,BESANCON,25056,Besancon,CA du Grand Besancon,20 Boulevard Salvador Allende 25000 BESANCON,cms,,,03 81 51 00 41,CMSPlanoise@doubs.fr,,accomp_demarches-ateliers_formations-,
CMS Novillars,2 rue Louis Pasteur,25220,NOVILLARS,25429,Novillars,CA du Grand Besancon,2 rue Louis Pasteur 25220 NOVILLARS,cms,,,03 81 55 61 25,,https://www.doubs.fr/index.php/geolocalisation/33:cms-novillars,accomp_demarches-,
CMS Maiche,3 Rue Des Boutons D'or,25120,MAICHE,25356,Maîche,CC du Pays de Maîche,3 Rue Des Boutons D'or 25120 MAICHE,cms,,,03 81 64 06 57,,https://www.doubs.fr/index.php/geolocalisation/33:cms-novillars,accomp_demarches-,
CMS L'Isle sur le Doubs,78 Bis rue Magny,25250,L'ISLE SUR LE DOUBS,25315,L'Isle-sur-le-Doubs,CC des Deux Vallées Vertes,78 Bis rue Magny 25250 L'ISLE SUR LE DOUBS,cms,,,03 81 92 73 98,,https://www.islesurledoubs.fr/centre-medico-social.htm,accomp_demarches-,
CMS Besancon Montrapon,7 Rue de l'Epitaphe,25000,BESANCON,25056,Besancon,CA du Grand Besancon,7 Rue de l'Epitaphe 25000 BESANCON,cms,,,03 81 50 42 84,,https://www.doubs.fr/index.php/geolocalisation/29:cms-montrapon,accomp_demarches-ateliers_formations-,
Maison de quartier Mandela,13 Av. de l'Île de France,25000,BESANCON,25056,Besancon,CA du Grand Besancon,13 Av. de l'Île de France 25000 BESANCON,association,,,03 81 87 81 20,planoise.mdq@besançon.fr,http://planoisactive.fr/apropos,,acces_libre-
Médiathèque Pontarlier,69 Rue de la République,25300,PONTARLIER,25462,Pontarlier,CC du Grand Pontarlier,69 Rue de la République 25300 PONTARLIER,biblioth_que,,,03 81 38 81 37,mediatheque@ville-pontarlier.com,https://mediatheque.ville-pontarlier.fr/,,acces_libre-
Maison des séniors Besancon,8 Rue Pasteur,25000,BESANCON,25056,Besancon,CA du Grand Besancon,8 Rue Pasteur 25000 BESANCON,collectivite,,,03 81 41 22 04,maison-des-seniors@besancon.fr,https://www.grandbesancon.fr/infos-pratiques/solidarite-sante/maison-des-seniors/,accomp_demarches-,acces_libre-
MJC Clairs-Soleils,67E Rue de Chalezeule,25000,BESANCON,25056,Besancon,CA du Grand Besancon,67E Rue de Chalezeule 25000 BESANCON,association,,,03 81 50 69 93,http://www.mjc-besancon.fr/,,accomp_demarches-ateliers_formations-,
CCAS Baumes les Dames,3 Place de la République,25110,BAUME LES DAMES,25047,Baume-les-Dames,CC du Doubs Baumois,3 Place de la République 25110 BAUME LES DAMES,ccas,,,03 81 84 75 10,actionsociale@baumelesdames.org,,,acces_libre-
CCAS de Montbéliard,11 rue Maurice Ravel,25200,MONTBELIARD,25388,Montbéliard,CA Pays de Montbéliard Agglomération,11 rue Maurice Ravel 25200 MONTBELIARD,ccas,,- Formation à l'outil numérique - Accès internet avec accompagnement   aider les usagers en démarchant auprès de CAF  CPAM  Impôts  Ameli...,03 81 99 23 00,ccas@montbeliard.com,,ateliers_formations-,
CCAS de Bethoncourt,13 rue Buffon,25200,BETHONCOURT,25057,Bethoncourt,CA Pays de Montbéliard Agglomération,13 rue Buffon 25200 BETHONCOURT,ccas,,UVTD (Université Virtuelle du Temps Disponible) - Proposer des conférences à distance,03 81 96 61 93  ,,https://www.bethoncourt.fr/ccas/,ateliers_formations-,
Cafés connectés (CCAS) ,Mairie de L'Isle-sur-le Doubs  Place François Mitterrand  ,25250,L'ISLE SUR LE DOUBS,25315,L'Isle-sur-le-Doubs,CC des Deux Vallées Vertes,Mairie de L'Isle-sur-le Doubs  Place François Mitterrand   25250 L'ISLE SUR LE DOUBS,ccas,,,,,,ateliers_formations-,
Cafés connectés (CCAS),6  Rue Barral,25500,MORTEAU,25411,Morteau,CC du Val de Morteau,6  Rue Barral 25500 MORTEAU,ccas,,,,,,ateliers_formations-,
Cafés connectés (CCAS),1 rue des Fleurs,25550,BAVANS,25048,Bavans,CA Pays de Montbéliard Agglomération,1 rue des Fleurs 25550 BAVANS,ccas,,Accomplissement des démarches CAF  CPAM  Ameli  Impôts... Avec accompagnement - ateliers (+ de 60ans) - septembre 2021,,,,accomp_demarches-ateliers_formations-,
Cafés connectés (CCAS),3 place de la République,25110,BAUME LES DAMES,25047,Baume-les-Dames,CC du Doubs Baumois,3 place de la République 25110 BAUME LES DAMES,ccas,,,,,,ateliers_formations-,
