NOM_DISPOSITIF,ADRESSE,CODE_POSTAL,VILLE,COM_CODE,COM_NOM,EPCI_CORRE,ADRESSE_COMPLETE,TYPE_STRUCTURE,HORAIRES,INFOS,N_TEL,MAIL,WEBSITE,SERVICES,ACCES,latitude,longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode
Onlineformapro,2b chemin de Palente,25000,BESANCON,25056,Besançon,CA du Grand Besancon,2b chemin de Palente 25000 BESANCON,entreprise,,,,,https://www.ofpformation.com/,ateliers_formations-,,47.267872,6.048804,Chemin de Palente,Chemin de Palente 25000 Besançon,Besançon,25000
France services Baume les Dames,3 Place de la République,25110,BAUME LES DAMES,25047,Baume-les-Dames,CC du Doubs Baumois,3 Place de la République 25110 BAUME LES DAMES,msap_mfs,,,03 81 84 72 45,franceservices@baumelesdames.org,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25047-01,accomp_demarches-ateliers_formations-,adapt_handicap-acces_libre-,47.352575,6.36156,3 Place de la Republique,3 Place de la Republique 25110 Baume-les-Dames,Baume-les-Dames,25110
MJC de Villers-le-Lac,4 Rue Parrenin,25130,VILLERS LE LAC,25321,Villers-le-Lac,CC du Val de Morteau,4 Rue Parrenin 25130 VILLERS LE LAC,association,,Coût : carte d’adhésion MJC + 50€ pour 12h cours informatiques,03 81 68 13 91,mjc.villers@gmail.com,http://www.mjcvll.com/,ateliers_formations-,adapt_handicap-,47.060345,6.669811,4 Rue Hippolyte Parrenin,4 Rue Hippolyte Parrenin 25130 Villers-le-Lac,Villers-le-Lac,25130
France services Saint-Hippolyte (Portage La Poste),Esplanade des Fêtes,25190,SAINT HIPPOLYTE,25519,Saint-Hippolyte,CC du Pays de Maîche,Esplanade des Fêtes 25190 SAINT HIPPOLYTE,msap_mfs,,Imprimante  photocopieuse  scanner  ordinateur avec accès internet Accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…),03 81 31 54 26,saint-hippolyte@france-services.gouv.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25519-01,accomp_demarches-,adapt_handicap-acces_libre-,47.320281,6.814496,Rue des Forges,Rue des Forges 25190 Saint-Hippolyte,Saint-Hippolyte,25190
Bureau Information Jeunesse de Montbéliard,Mairie,25200,MONTBELIARD,25388,Montbéliard,CA Pays de Montbéliard Agglomération,Mairie 25200 MONTBELIARD,collectivite,,,03 81 99 24 15,bij@montbeliard.com,https://www.montbeliard.fr/ma-ville-au-quotidien/jeunes-11-26-ans/bij-bureau-information-jeunesse.html,accomp_demarches-,,47.509655,6.794778,Montbéliard,Montbéliard,Montbéliard,25200
Association La Lizaine de Bethoncourt,Place Cuvier,25200,BETHONCOURT,25057,Bethoncourt,CA Pays de Montbéliard Agglomération,Place Cuvier 25200 BETHONCOURT,association,,Cours d'accès au numérique,03 91 92 90 81,,https://www.bethoncourt.fr/programme-vacances-association-socioculturelle-la-lizaine/,ateliers_formations-,,47.534579,6.804374,Place Cuvier,Place Cuvier 25200 Bethoncourt,Bethoncourt,25200
L'Atelier du pavillon des sciences,1 impasse de la presqu'ile,25200,MONTBELIARD,25388,Montbéliard,CA Pays de Montbéliard Agglomération,1 impasse de la presqu'ile 25200 MONTBELIARD,espnum,,Lieu de création numérique,03 81 97 18 21,contact@pavillon-sciences.com,https://www.pavillon-sciences.com/web/,ateliers_formations-tierslieux_cowork-,adapt_handicap-acces_payant-,47.505168,6.795357,1 Impasse de la Presqu Ile,1 Impasse de la Presqu Ile 25200 Montbéliard,Montbéliard,25200
France services Montbéliard,12 rue Maurice Ravel,25200,MONTBELIARD,25388,Montbéliard,CA Pays de Montbéliard Agglomération,12 rue Maurice Ravel 25200 MONTBELIARD,msap_mfs,,Accompagnement des démarches CAF  pole emploi MSA pour agriculteurs  demande de logement et de bourses,03 81 36 52 03,france.services.montbeliard@outlook.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25388-01,accomp_demarches-,adapt_handicap-acces_libre-,47.499355,6.798311,12 Rue Maurice Ravel,12 Rue Maurice Ravel 25200 Montbéliard,Montbéliard,25200
EPN Grand-Charmont,5  rue de Sochaux,25200,GRAND-CHARMONT,25284,Grand-Charmont,CA Pays de Montbéliard Agglomération,5  rue de Sochaux 25200 GRAND-CHARMONT,collectivite,,- connexion internet  photocopie  scan fax - Ateliers Collectifs Public Adultes etSeniors sur le thème du multimédia et de la bureautique. - Ateliers ludo-éducatifs,03 81 32 19 17,epn-pij@grand-charmont.com,http://www.grand-charmont.com/,ateliers_formations-,adapt_handicap-acces_libre-acces_payant-,47.526409,6.826627,5 Rue de Sochaux,5 Rue de Sochaux 25200 Grand-Charmont,Grand-Charmont,25200
France Services Mouthe,1 Grande Rue,25240,MOUTHE,25413,Mouthe,CC des Lacs et Montagnes du Haut-Doubs,1 Grande Rue 25240 MOUTHE,msap_mfs,,Imprimante  photocopieuse  scanner  ordinateur avec accès internet Accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…),09 82 81 55 46,maisonfranceservices@mouthe.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25413-01,accomp_demarches-,adapt_handicap-acces_libre-,46.710386,6.192658,1 Grande Rue,1 Grande Rue 25240 Mouthe,Mouthe,25240
France Services L'Isle sur le Doubs,10 rue des Prés verts,25250,L'ISLE SUR LE DOUBS,25315,L'Isle-sur-le-Doubs,CC des Deux Vallées Vertes,10 rue des Prés verts 25250 L'ISLE SUR LE DOUBS,msap_mfs,,,03 81 86 02 63,adelaide.thiel@cc2vv.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25315-01,accomp_demarches-ateliers_formations-,acces_libre-,47.447226,6.588822,10 Rue des Pres Verts,10 Rue des Pres Verts 25250 L'Isle-sur-le-Doubs,L'Isle-sur-le-Doubs,25250
Mission Locale du Haut-Doubs,17 place des Bernardines,25300,PONTARLIER,25462,Pontarlier,CC du Grand Pontarlier,17 place des Bernardines 25300 PONTARLIER,collectivite,,,03 81 46 54 61,,https://missionslocales-bfc.fr/mission-locale-haut-doubs/,accomp_demarches-,,46.905997,6.354076,17 Place des Bernardines,17 Place des Bernardines 25300 Pontarlier,Pontarlier,25300
France services Amancey,13 rue du Four,25330,AMANCEY,25015,Amancey,CC Loue-Lison,13 rue du Four 25330 AMANCEY,msap_mfs,,,03 81 86 79 80,contact@msap-amancey.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25015-01,accomp_demarches-,acces_libre-,47.037799,6.070477,13 Rue du Four,13 Rue du Four 25330 Amancey,Amancey,25330
France Services Pays de Clerval,1 rue Portes des Noyes,25340,PAYS DE CLERVAL,25156,Pays-de-Clerval,CC des Deux Vallées Vertes,1 rue Portes des Noyes 25340 PAYS DE CLERVAL,msap_mfs,,Démarches CAF  CPAM  Pôle emploi  instruction RSA  accès aux droits numériques,06 24 77 22 96,coralie.burr@cc2vv.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25156-02,accomp_demarches-ateliers_formations-,adapt_handicap-acces_libre-,47.393324,6.497102,1 Rue Porte des Noyes,1 Rue Porte des Noyes 25340 Pays-de-Clerval,Pays-de-Clerval,25340
France Services Bouclans,1 Place de la Poste,25360,BOUCLANS,25078,Bouclans,CC des Portes du Haut-Doubs,1 Place de la Poste 25360 BOUCLANS,msap_mfs,,Ordinateurs en libre service  accès internet  photocopieuse  imprimante  scanner  téléphone  visioconférence et espace de confidentialité Travaille avec une startup « reconnect» pour proposer un coffre-fort numérique Accompagnement sur les démarches administratives (tous types). • Accompagnement spécifique sur les questions relatives à l’emploi : réalisation des démarches administratives (Pôle emploi; RSA  CAF  CPAM CARSAT  MSA  URSAFF) • Accompagnement dans une démarche de recherche d’emploi : définition du projet professionnel  rédaction CV et lettre de motivation  préparation des entretiens d’embauche  aide à la consultation d’offres  recherche de solutions (transport  garde d’enfants...),03 81 52 24 41,franceservices@bouclans.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25078-01,accomp_demarches-ateliers_formations-,adapt_handicap-acces_libre-,47.246367,6.236646,1 Place de la Poste,1 Place de la Poste 25360 Bouclans,Bouclans,25360
Espace citoyen,Centre Saint-Exupéry   49  rue Combe Mirey,25400,AUDINCOURT,25031,Audincourt,CA Pays de Montbéliard Agglomération,Centre Saint-Exupéry   49  rue Combe Mirey  25400 AUDINCOURT,collectivite,,,09 63 40 48 90.,,https://www.audincourt.fr/sports-loisirs/structures-danimation/espace-citoyen/,accomp_demarches-ateliers_formations-,acces_libre-,47.473836,6.857147,49 Rue de la Combe Mirey,49 Rue de la Combe Mirey 25400 Audincourt,Audincourt,25400
Association Saint-VIt Informatique,1bis  rue du Four,25410,SAINT VIT,25527,Saint-Vit,CA du Grand Besancon,1bis  rue du Four 25410 SAINT VIT,association,,,03 81 87 59 78,contact@saintvitinformatique.com,http://www.saintvitinformatique.com/,ateliers_formations-,acces_libre-,47.180216,5.810303,1bis Rue du Four,1bis Rue du Four 25410 Saint-Vit,Saint-Vit,25410
France Services - Sancey Belleherbe,14 bis Rue du Maréchal de Lattre de Tassigny,25430,SANCEY,25529,Sancey,CC du Pays de Sancey-Belleherbe,14 bis Rue du Maréchal de Lattre de Tassigny 25430 SANCEY,msap_mfs,,Démarches administratives en ligne  accès aux droits Accompagnement et utilisation de l'outil informatique Orientation  formation et accompagnement aux parents dans l'utilisation des tablettes numériques : suivi de la scolarité et service Pronote (à partir de septembre 2021),07 68 59 77 29,benedicte.gauthier@payssancey-belleherbe.fr,http://www.payssancey-belleherbe.fr/les-services-au-sein-du-vallon-de-sancey.html,accomp_demarches-ateliers_formations-,acces_libre-,47.303192,6.591553,14bis Rue du Mal de Lattre de Tassigny (Sancey-le-Long),14bis Rue du Mal de Lattre de Tassigny (Sancey-le-Long) 25430 Sancey,Sancey,25430
France Services- Antenne de Sancey,1 Allée des Sapins,25380,BELLEHERBE,25529,Sancey,CC du Pays de Sancey-Belleherbe,1 Allée des Sapins 25380 BELLEHERBE,msap_mfs,,France services itinérante,07 68 59 77 29,benedicte.gauthier@payssancey-belleherbe.fr,http://www.payssancey-belleherbe.fr/les-services-au-sein-du-plateau-de-belleherbe.html,accomp_demarches-ateliers_formations-,acces_libre-itinerance-,47.25957,6.656181,1 Allee des Sapins,1 Allee des Sapins 25380 Belleherbe,Belleherbe,25380
France services Quingey,4 Lot Rives de la Loue,25440,QUINGEY,25475,Quingey,CC Loue-Lison,4 Lot Rives de la Loue 25440 QUINGEY,msap_mfs,,"Accueil/information avec ou sans RDV. Entretien individuel et confidentiel sur RDV. 1 point internet administratif public en libre accès avec imprimante multifonction. Pour les permanences spécialisées : carte d'identité/passeport, droit de la famille, des femmes, conciliateur de justice, droit de la consommation, mission locale jeunes, pole rénovation, maison de l'habitat du doubs, CIAS...  Jours et horaires d'ouverture de France services : Lundi-mardi-mercredi 9h-12h30/13h30-18h Mercredi 9h-12h (sur RDV) Vendredi 9h-12h/13h3016h Samedi en semaine paire 9h-12h (sur RDV)",03 70 88 50,quingey@france-services.gouv.fr,https://cclouelison.fr/fr/rb/417588/france-services-24,accomp_demarches-,acces_libre-adapt_handicap,47.101956,5.882836,Lotissement les Rives de la Loue,Lotissement les Rives de la Loue 25440 Quingey,Quingey,25440
Maison des associations,Rue du 19 mars,25490,FESCHES LE CHATEL,25237,Fesches-le-Châtel,CA Pays de Montbéliard Agglomération,Rue du 19 mars 25490 FESCHES LE CHATEL,collectivite,,,03 81 93 00 10,,,accomp_demarches-,,47.523808,6.897258,Rue du 19 Mars 1962,Rue du 19 Mars 1962 25490 Fesches-le-Châtel,Fesches-le-Châtel,25490
AGASC - Maison pour tous,41 Grande rue,25550,BAVANS,25048,Bavans,CA Pays de Montbéliard Agglomération,41 Grande rue 25550 BAVANS,collectivite,,,03 81 92 64 25,assos.gestion@wanadoo.fr,,accomp_demarches-,acces_libre-,47.480477,6.736854,41 Grande Rue,41 Grande Rue 25550 Bavans,Bavans,25550
MSAP Frasne / Agence Postale Communale,18 rue de la Gare,25560,FRASNE,25259,Frasne,CC du Plateau de Frasne et du Val de Drugeon (CFD),18 rue de la Gare 25560 FRASNE,msap_mfs,,Imprimante  photocopieuse  scanner  ordinateur avec accès internet Accès aux sites des opérateurs partenaires (CAF  CPAM  MSA  DDFIP  Pôle Emploi…),,msap.frasne@laposte.fr,https://www.maisondeservicesaupublic.fr/content/frasne-bureau-de-poste,accomp_demarches-,adapt_handicap-acces_libre-,46.857464,6.158342,18 Rue de la Gare,18 Rue de la Gare 25560 Frasne,Frasne,25560
France services Les Premiers Sapins,8 rue de la Scierie,25580,LES PREMIERS SAPINS,25424,Les Premiers Sapins,CC des Portes du Haut-Doubs,8 rue de la Scierie 25580 LES PREMIERS SAPINS,msap_mfs,,Accès à internet  Wifi  Photocopieuse  imprimante  scanner  visioconférence  Téléphone  Assurer l’accueil de premier niveau pour les partenaires sociaux : proposer une permanence physique qui accompagne les personnes dans leur démarche  favoriser l’accès aux nouvelles technologies (cabine numérique  accompagnement  formation  …)  appuyer tous les projets citoyens grâce à l’accompagnement de l’espace de Vie Local  Cours informatiques : 2 modules de plusieurs niveaux (6 personnes par cours) en lien avec un prestataire externe (pris en charge par le CCAS),03 81 60 04 06,mairie.lps25@orange.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25424-01,accomp_demarches-ateliers_formations-,adapt_handicap-acces_libre-,47.098476,6.336568,8 Rue de la Scierie,8 Rue de la Scierie 25580 Les Premiers Sapins,Les Premiers Sapins,25580
France Services Sochaux,Rue de La Poste,25600,SOCHAUX,25547,Sochaux,CA Pays de Montbéliard Agglomération,Rue de La Poste 25600 SOCHAUX,msap_mfs,,Apprentissage de l'outil informatique pour accomplir les démarches en ligne,09 62 69 61 15,france.services.sochaux@outlook.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25547-01,accomp_demarches-ateliers_formations-,acces_libre-,47.513896,6.830879,Rue de la Poste,Rue de la Poste 25600 Sochaux,Sochaux,25600
Pôle Multimédia,Mairie,25600,SOCHAUX,25547,Sochaux,CA Pays de Montbéliard Agglomération,Mairie 25600 SOCHAUX,collectivite,,,03 81 94 53 42,POLE-MULTIMEDIA@SOCHAUX.FR,https://sochaux.fr/sochaux/loisirs-sports/pole-multimedia.htm,ateliers_formations-,acces_libre-,47.515475,6.828345,Sochaux,Sochaux,Sochaux,25600
Point multimédia,Le couvent,25190,SAINT HIPPOLYTE,25519,Saint-Hippolyte,CC du Pays de Maîche,Le couvent 25190 SAINT HIPPOLYTE,association,,Lieu d'information et d'accès aux droits,04.68.28.24.73,pjsthippo@hotmail.fr,https://mairie-saint-hippolyte.fr/point-jeunes/,,,47.318144,6.813229,Rue du Couvent,Rue du Couvent 25190 Saint-Hippolyte,Saint-Hippolyte,25190
MSAP Mamirolle ( Bureau de Poste),17 Grande Rue,25620,MAMIROLLE,25364,Mamirolle,CA du Grand Besancon,17 Grande Rue 25620 MAMIROLLE,msap_mfs,,,,msap.mamirolle@laposte.fr,,accomp_demarches-,acces_libre-,47.197153,6.161632,17 Grande Rue,17 Grande Rue 25620 Mamirolle,Mamirolle,25620
Club Miss,58 rue de Besançon,25630,SAINTE SUZANNE,25526,Sainte-Suzanne,CA Pays de Montbéliard Agglomération,58 rue de Besançon 25630 SAINTE SUZANNE,association,,,,,,ateliers_formations-,,47.506512,6.77488,58 Rue de Besançon,58 Rue de Besançon 25630 Sainte-Suzanne,Sainte-Suzanne,25630
France services Gilley,2 Avenue Jean de Lattre de Tassigny,25650,GILLEY,25271,Gilley,CC de Montbenoît,2 Avenue Jean de Lattre de Tassigny 25650 GILLEY,msap_mfs,,- Accès internet  Ordinateur  imprimante  scanner  photocopie et téléphone.  - Visioconférence notamment avec l’antenne Pôle Emploi de Morteau - Une personne à disposition du public pour un accompagnement à la réalisation des démarches administratives et quotidiennes,09 63 53 66 42,franceservices@gilley.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25271-01,accomp_demarches-,adapt_handicap-acces_libre-,47.047279,6.479033,2 Avenue Jean de Lattre,2 Avenue Jean de Lattre 25650 Gilley,Gilley,25650
France Services Rougemont,2 rue Basse,25680,ROUGEMONT,25184,Cuse-et-Adrisans,CC des Deux Vallées Vertes,2 rue Basse 25680 ROUGEMONT,msap_mfs,,,03 81 86 02 63,julie.boutin@cc2vv.fr,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25505-01,accomp_demarches-ateliers_formations-,acces_libre-,47.479379,6.353959,2 Rue Basse,2 Rue Basse 25680 Rougemont,Rougemont,25680
Maison des Jeunes et de la Culture,10 Rue Carnot,25700,VALENTIGNEY,25580,Valentigney,CA Pays de Montbéliard Agglomération,10 Rue Carnot 25700 VALENTIGNEY,association,,,03 81 36 25 50,guyvandeneeckhoutte@orange.fr,http://www.mjcvalentigney.fr/,ateliers_formations-,,47.462348,6.836721,10 Rue Carnot,10 Rue Carnot 25700 Valentigney,Valentigney,25700
France services Valdahon,5 Place du Général de Gaulle,25800,VALDAHON,25578,Valdahon,CC des Portes du Haut-Doubs,5 Place du Général de Gaulle 25800 VALDAHON,msap_mfs,,1 ordinateur  Accès internet gratuit (limité à 1h/jour)  Imprimante  photocopieuse  scanner  espace de confidentialité  projet d’acquisition de webcams pour de la visio-conférence et de développer de nouveaux ateliers  Accompagnement sur les démarches administratives • Ateliers informatiques (prestataire extérieur) • Actions communes avec le CCAS et le CMS qui sont dans les mêmes locaux • Participation à l’opération « Cafés connectés »,03 81 26 04 10,mds@valdahon.com,https://lannuaire.service-public.fr/bourgogne-franche-comte/doubs/msap-25578-01,accomp_demarches-ateliers_formations-,adapt_handicap-acces_libre-,47.147983,6.345019,5 Place du Général de Gaulle,5 Place du Général de Gaulle 25800 Valdahon,Valdahon,25800
Crédit Agricole,33 Bis Rue Charles de Gaulle,25410,SAINT VIT,25527,Saint-Vit,CA du Grand Besancon,33 Bis Rue Charles de Gaulle 25410 SAINT VIT,entreprise,,,03 81 55 11 32,saint.vit@ca-franchecomte.fr,https://www.credit-agricole.fr/particulier/agence/franche-comte/saint-vit-3602.html,accomp_demarches-ateliers_formations-,,47.181358,5.807093,33b Rue Charles de Gaulle,33b Rue Charles de Gaulle 25410 Saint-Vit,Saint-Vit,25410
Crédit Agricole,31 Grande Rue  25140 Charquemont,25140,CHARQUEMONT,25127,Charquemont,CC du Pays de Maîche,31 Grande Rue  25140 Charquemont 25140 CHARQUEMONT,entreprise,,,03 81 44 00 78,charquemont@ca-franchecomte.fr,https://www.credit-agricole.fr/particulier/agence/franche-comte/charquemont-3589.html,accomp_demarches-ateliers_formations-,,47.211912,6.823314,31 Grande Rue,31 Grande Rue 25140 Charquemont,Charquemont,25140
Crédit Agricole,Ctre commercial Super U  Rue Emagny,25115,POUILLEY LES VIGNES,25127,Charquemont,CC du Pays de Maîche,Ctre commercial Super U  Rue Emagny 25115 POUILLEY LES VIGNES,entreprise,,,03 81 55 04 76,pouilley.les.vignes@ca-franchecomte.fr,https://www.credit-agricole.fr/particulier/agence/franche-comte/pouilley-les-vignes-3601.html,accomp_demarches-ateliers_formations-,,47.256734,5.93023,Rue d'Emagny,Rue d'Emagny 25115 Pouilley-les-Vignes,Pouilley-les-Vignes,25115
Crédit Agricole,21 rue de Besancon,25150,PONT DE ROIDE,25127,Charquemont,CC du Pays de Maîche,21 rue de Besancon 25150 PONT DE ROIDE,entreprise,,,03 81 99 87 40,pont.de.roide@ca-franchecomte.fr,https://www.credit-agricole.fr/particulier/agence/franche-comte/pont-de-roide-3631.html,accomp_demarches-ateliers_formations-,,47.384144,6.768161,Rue de Besançon,Rue de Besançon 25150 Pont-de-Roide-Vermondans,Pont-de-Roide-Vermondans,25150
MJC Palente,24 Rue des Roses,25000,BESANCON,25056,Besançon,CA du Grand Besancon,24 Rue des Roses 25000 BESANCON,association,,,03 81 80 42 92,mjcpalente.secretariat@gmail.com,http://www.mjc-palente.fr/,accomp_demarches-,acces_libre-,47.26023,6.045138,24 Rue des Roses,24 Rue des Roses 25000 Besançon,Besançon,25000
Complicité,6 Grande rue,25440,COURCELLES,25171,Courcelles,CC Loue-Lison,6 Grande rue 25440 COURCELLES,association,,,06 33 33 84 47,contact@association-complicite.com,https://association-complicite.com/,accomp_demarches-ateliers_formations-,,47.0944,5.955681,6 Grande Rue,6 Grande Rue 25440 Courcelles,Courcelles,25440
Familles Rurales,15 Avenue Général de Gaulle,25290,ORNANS,25434,Ornans,CC Loue-Lison,15 Avenue Général de Gaulle 25290 ORNANS,association,,,03 81 62 26 93,famillesruralespo@orange.fr,https://www.famillesrurales.org/pays-ornans/17/familles-rurales-du-pays-dornans,accomp_demarches-ateliers_formations-,acces_libre-,47.10747,6.140272,15 Av du General Charles de Gaulle,15 Av du General Charles de Gaulle 25290 Ornans,Ornans,25290
